data,label
"sau 1 tuần sử dụng mình thấy hàng rất ok, chuẩn chính hãng VN/A nguyên seal, đóng gói cẩn thận cho lazada 5 sao",0
"Giao hàng rất nhanh, đóng gói kỹ đẹp. Dịch vụ của Lazada rất tốt.",0
"giao hàng hơi chậm, nhân viên trả lời chung chung về tình trạng đơn hàng, đóng gói sơ sài với hàng có giá trị lớn,",2
"Lazada giao hàng có giá trị trong 1 hộp carton không bọc chống sốc. Mình mở hộp ra thấy chiếc điện thoại lăn lóc mà hoảng! Mở ra đúng y ngoại quan có vấn đề. Có những vết trầy dọc theo thân máy ở khe cắm sim, nút nguồn. Rất mong Lazada cải thiện về mặt giao hàng vì đây sẽ là điểm trừ rất lớn khi không đảm bảo chất lượng hàng hoá cho khách!",2
hàng nguyên seal tem của petro.,0
"Rất hài lòng với sản phẩm. Sản phẩm chính hãng FPT Trading, mã VN/A nguyên seal, Giao hàng rất nhanh. Đóng gói kỹ lưỡng, có túi bóng khí đệm rất yên tâm. Nhưng checksản phẩm trên trang của FPTshop thì bảo hành tính từ ngày 07/11 trong khi đơn hàng đặt ngày 11/11",0
hàng VN!/A giap hàng đúng hẹn. hơi buồn xíu đóng hộp không chắc chắn không có chống sốc cho 1 đơn hàng gần 20tr,1
"Lần đầu mua hàng ở lazada mà hơi thất vọng. Một cái máy gần 20tr mà mình hơi bất ngờ với cách đóng hộp để vận chuyển của Lazada, không có lấy một miếng xốp bong bóng hay miếng giấy để chống sốc. Mình đã từng đặt hàng ở nhiều nơi dù là cọng dây cáp hay cục sạc thì cũng có miếng lót chống sốc đàng hoàng. Mong Lazada xem lại vấn đề này!

Còn về máy thì ổn nhé, mã VNA có tem của FPT Shop!",1
"Hàng chính hãng, giao hàng nhiệt tình. Nhưng sao mình không thấy tem của fpt. ",1
"5 sao cho lazmall và apple store, giá dịp sale tốt, đúng chính hãng fpt tem seal đầy đủ. 5 sao lần nữa. Máy thì màu xanh ngọc ở ngoài đẹp long lanh hơn trong hình quảng cáo nhiều nhé. ^^",0
"Mới nhận sản phẩm Iphone 8 plus 64GB, gồm 1 máy, 1 cáp sạc, 1 củ sạc, 1 tai nghe, 1 kim lấy sim, hướng dẫn... nhưng thiếu 1 cáp chuyển đổi nha NBH Apple! (khôngthể đăng ảnh)",1
Chiết khấu tương đối tốt. Giao hàng tương đối nhanh. Phục vụ tốt.,0
